"","lon","lat","entity"
"193",55.491977,-4.679574,"Seychelles"
"194",-11.779889,8.460555,"Sierra Leone"
"195",103.819836,1.352083,"Singapore"
"196",-63.05483,18.04248,"Sint Maarten (Dutch part)"
"197",19.699024,48.669026,"Slovakia"
"198",14.995463,46.151241,"Slovenia"
"199",160.156194,-9.64571,"Solomon Islands"
"200",46.199616,5.152149,"Somalia"
"201",46.8252838,9.4117434,"Somaliland"
"202",22.937506,-30.559482,"South Africa"
"203",127.766922,35.907757,"South Korea"
"204",31.3069788,6.8769919,"South Sudan"
"205",-3.74922,40.463667,"Spain"
"206",80.771797,7.873054,"Sri Lanka"
"207",30.217636,12.862807,"Sudan"
"208",-56.027783,3.919305,"Suriname"
"209",23.6702719,77.553604,"Svalbard and Jan Mayen"
"210",31.465866,-26.522503,"Swaziland"
"211",18.643501,60.128161,"Sweden"
"212",8.227512,46.818188,"Switzerland"
"213",38.996815,34.802075,"Syria"
"214",38.996815,34.802075,"Syrian Arab Republic"
"215",120.960515,23.69781,"Taiwan"
"216",71.276093,38.861034,"Tajikistan"
"217",34.888822,-6.369028,"Tanzania"
"218",100.992541,15.870032,"Thailand"
"219",0.824782,8.619543,"Togo"
"220",-171.8484,-9.2002,"Tokelau"
"221",-175.198242,-21.178986,"Tonga"
"222",-61.222503,10.691803,"Trinidad and Tobago"
"223",9.537499,33.886917,"Tunisia"
"224",35.243322,38.963745,"Turkey"
"225",59.556278,38.969719,"Turkmenistan"
"226",-71.797928,21.694025,"Turks and Caicos Islands"
"227",177.64933,-7.109535,"Tuvalu"
"228",NA,NA,"USSR"
"229",32.290275,1.373333,"Uganda"
"230",31.1655799,48.379433,"Ukraine"
"231",53.847818,23.424076,"United Arab Emirates"
"232",-3.435973,55.378051,"United Kingdom"
"233",127.9784585,37.6639976,"United Korea"
"234",-95.712891,37.09024,"United States"
"235",-64.896335,18.335765,"United States Virgin Islands"
"236",-55.765835,-32.522779,"Uruguay"
"237",64.585262,41.377491,"Uzbekistan"
"238",166.959158,-15.376706,"Vanuatu"
"239",12.453389,41.902916,"Vatican"
"240",-66.58973,6.42375,"Venezuela"
"241",108.277199,14.058324,"Vietnam"
"242",-178.1165,-14.2938,"Wallis and Futuna"
"243",-75.2075659,40.1339689,"West Germany"
"244",-12.885834,24.215527,"Western Sahara"
"245",48.516388,15.552727,"Yemen"
"246",27.849332,-13.133897,"Zambia"
"247",29.154857,-19.015438,"Zimbabwe"
"248",19.9156105,60.1785247,"Åland Islands"
