"Years","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"    Gender",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        Male (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"110398754","111502912","112579479","113646987","114670252","115729577","116865225","117960907","119085496","120277490","121713764","123416235","125247146","126970600","128597479","130215371","131807484","133473526","135129904","136802873","138443407","139891492","141230559","142428897","143828012","145197078","146647265","148064854","149489951","150807454","152074758","153200058","154374397","155481926","156654424","157856394","159021785","160045920","160885734","161657324",
"        Female (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"116825965","117962696","119085017","120144916","121154531","122194155","123267616","124328116","125413340","126541629","127909050","129564706","131267078","132947988","134528342","136063022","137586800","139173399","140724200","142237295","143719004","145077463","146394634","147679036","148977286","150319521","151732647","153166353","154604015","155964075","157246908","158356816","159456593","160511789","161646584","162778769","163919526","164939619","165801767","166582199",
"    Life Stage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        Children (under 18) (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"63683466","63211690","62812665","62566086","62482778","62623913","62865654","63056407","63247010","63456320","64215494","65313018","66509177","67594938","68640935","69473139","70233512","70920737","71431406","71946049","72376189","72671175","72936457","73100758","73297735","73523669","73757714","74019405","74104602","74134167","74120666","73907524","73696664","73568702","73563723","73618051","73649413","73585346","73319145","73039150",
"            By State",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Alabama (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1122273","1120409","1116590","1113083","1113662","1117229","1126798","1132296","1134927","1134192","1130415","1123812","1116691","1109897","1105754","1102583","1099306","1095210","1089820",,
"                Alaska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"190615","188771","188482","186843","186335","185304","185580","184344","183124","186351","187995","188554","188357","188278","186753","186071","186810","185608","183816",,
"                Arizona (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1373414","1399015","1427938","1453671","1484454","1529168","1574867","1607895","1628651","1627343","1626340","1615978","1616830","1618232","1623955","1628980","1636043","1639054","1642647",,
"                Arkansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"680378","679606","678798","679579","683166","689787","697842","702737","705725","707886","711622","711634","711181","709024","707169","706559","706077","705584","703180",,
"                California (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9267089","9325466","9365142","9404594","9418497","9405565","9370884","9335620","9321621","9294501","9280448","9244602","9193267","9156957","9133599","9116020","9086531","9044674","8989764",,
